899.00, 0.00, 4095.00, 0.00, 50770.00, 8388607.00
910.00, 0.00, 4095.00, 0.00, 50726.00, 8388607.00
921.00, 0.00, 4095.00, 0.00, 50541.00, 8388607.00
932.00, 0.00, 4095.00, 0.00, 50628.00, 8388607.00
943.00, 0.00, 4095.00, 0.00, 50528.00, 8388607.00
954.00, 0.00, 4095.00, 0.00, 50448.00, 8388607.00
965.00, 0.00, 4095.00, 0.00, 50420.00, 8388607.00
976.00, 0.00, 4095.00, 0.00, 50296.00, 8388607.00
987.00, 0.00, 4095.00, 0.00, 50293.00, 8388607.00
992.00, 0.00, 4095.00, 0.00, 50293.00, 8388607.00
3.00, 0.00, 4095.00, 0.00, 50277.00, 8388607.00
20.00, 0.00, 4095.00, 0.00, 50395.00, 8388607.00
31.00, 0.00, 4089.00, 0.00, 50532.00, 8388607.00
42.00, 0.00, 4095.00, 0.00, 50461.00, 8388607.00
53.00, 0.00, 4095.00, 0.00, 50459.00, 8388607.00
63.00, 0.00, 4095.00, 0.00, 50341.00, 8388607.00
74.00, 0.00, 4095.00, 0.00, 50324.00, 8388607.00
85.00, 0.00, 4095.00, 0.00, 50254.00, 8388607.00
96.00, 0.00, 4095.00, 0.00, 50156.00, 8388607.00
107.00, 0.00, 4095.00, 0.00, 50508.00, 8388607.00
118.00, 0.00, 4093.00, 0.00, 50341.00, 8388607.00
129.00, 0.00, 4095.00, 0.00, 50228.00, 8388607.00
137.00, 0.00, 4095.00, 0.00, 50321.00, 8388607.00
145.00, 0.00, 4095.00, 0.00, 50317.00, 8388607.00
156.00, 0.00, 4095.00, 0.00, 50057.00, 8388607.00
173.00, 0.00, 4095.00, 0.00, 49889.00, 8388607.00
184.00, 0.00, 4095.00, 0.00, 50151.00, 8388607.00
195.00, 0.00, 4095.00, 0.00, 50200.00, 8388607.00
206.00, 0.00, 4095.00, 0.00, 50226.00, 8388607.00
217.00, 0.00, 4095.00, 0.00, 50316.00, 8388607.00
228.00, 0.00, 4095.00, 0.00, 50242.00, 8388607.00
